,Average Temperature,Historic Low Temp,Average High Temp,Average Low Temp,Historic High Temp,State,City,CityFIPS
466419,57.0,-6.0,82.0,33.0,104.0,Nevada,Sparks,3268400.0
467200,49.0,-10.0,74.0,29.0,100.0,New Hampshire,Manchester,3345140.0
468068,48.0,-15.0,75.0,27.0,102.0,New Hampshire,Nashua,3350260.0
468627,56.0,3.0,79.0,38.0,103.0,New Jersey,Camden,3410000.0
469215,54.0,1.0,78.0,36.0,103.0,New Jersey,Clifton,3413690.0
472409,55.0,1.0,79.0,37.0,108.0,New Jersey,Newark,3451000.0
474897,54.0,1.0,78.0,36.0,103.0,New Jersey,Passaic,3456550.0
475345,52.0,-1.0,76.0,32.0,102.0,New Jersey,Paterson,3457000.0
476325,54.0,-1.0,78.0,34.0,105.0,New Jersey,Trenton,3474000.0
477081,54.0,1.0,78.0,36.0,103.0,New Jersey,Union City,3474630.0
477640,60.0,-6.0,81.0,37.0,102.0,New Mexico,Albuquerque,3502000.0
481539,53.0,-11.0,78.0,29.0,100.0,New Mexico,Rio Rancho,3563460.0
481612,64.0,0.0,86.0,40.0,106.0,New Mexico,Las Cruces,3539380.0
486959,56.0,3.0,78.0,39.0,104.0,New York,Mount Vernon,3649121.0
487575,56.0,3.0,78.0,39.0,104.0,New York,New Rochelle,3650617.0
488051,54.0,3.0,75.0,38.0,103.0,New York,New York,3651000.0
550325,51.0,-12.0,75.0,28.0,99.0,New York,Schenectady,3665508.0
550941,48.0,-17.0,74.0,26.0,101.0,New York,Syracuse,3673000.0
554046,55.0,-1.0,78.0,35.0,98.0,North Carolina,Asheville,3702140.0
555018,59.0,4.0,83.0,39.0,105.0,North Carolina,Cary,3710740.0
556218,60.0,6.0,83.0,39.0,104.0,North Carolina,Charlotte,3712000.0
561876,59.0,7.0,82.0,39.0,100.0,North Carolina,Concord,3714100.0
562588,59.0,4.0,83.0,39.0,105.0,North Carolina,Durham,3719000.0
564385,61.0,8.0,84.0,41.0,103.0,North Carolina,Fayetteville,3722920.0
565910,59.0,6.0,82.0,39.0,105.0,North Carolina,Gastonia,3725580.0
566995,58.0,5.0,81.0,38.0,100.0,North Carolina,Greensboro,3728000.0
569329,60.0,-4.0,82.0,39.0,100.0,North Carolina,Greenville,3728080.0
570053,58.0,5.0,81.0,38.0,100.0,North Carolina,High Point,3731400.0
571088,61.0,9.0,83.0,42.0,99.0,North Carolina,Jacksonville,3734200.0
571610,59.0,4.0,83.0,39.0,105.0,North Carolina,Raleigh,3755000.0
574365,64.0,11.0,85.0,42.0,103.0,North Carolina,Wilmington,3774440.0
575289,58.0,4.0,80.0,39.0,102.0,North Carolina,Winston-Salem,3775000.0
575386,43.0,-33.0,70.0,17.0,100.0,North Dakota,Fargo,3825700.0
578107,51.0,-11.0,75.0,29.0,98.0,Ohio,Akron,3901000.0
580059,50.0,-11.0,75.0,29.0,101.0,Ohio,Canton,3912000.0
